id,visitorId,bookId,librarianId,borrowDate,returnDate
1,50,29,8,2024-05-25,2024-06-14
2,43,30,7,2024-05-25,2024-06-13
3,30,18,7,2024-07-27,2024-08-07
4,23,42,9,2024-02-20,2024-03-20
5,38,40,6,2024-02-17,
6,40,45,3,2024-04-05,2024-04-13
7,47,32,7,2024-07-04,2024-07-21
8,19,20,10,2024-03-17,2024-03-18
9,43,45,9,2024-08-05,
10,4,9,3,2024-02-21,2024-03-08
11,45,32,1,2024-10-05,2024-10-07
12,36,26,10,2024-05-13,2024-06-01
13,19,40,1,2024-07-12,
14,23,45,7,2024-05-09,2024-05-27
15,18,37,9,2024-04-11,2024-04-24
16,34,3,9,2024-03-09,
17,19,44,8,2024-05-03,2024-05-14
18,15,16,9,2024-08-08,
19,41,9,9,2024-04-30,
20,45,10,9,2024-07-27,
21,26,20,9,2024-10-07,
22,21,15,8,2024-03-20,
23,1,18,9,2024-06-04,2024-06-06
24,17,10,1,2024-01-31,2024-02-04
25,23,24,2,2024-10-07,
26,10,43,8,2024-03-09,
27,36,35,1,2024-07-11,2024-07-31
28,1,37,9,2024-04-15,
29,22,43,10,2024-08-06,
30,42,46,1,2024-10-14,2024-10-15
31,13,1,8,2024-04-25,
32,2,33,5,2024-08-17,
33,43,26,5,2024-05-05,2024-05-11
34,36,8,8,2024-03-13,
35,16,36,3,2024-01-22,
36,40,28,3,2024-03-22,
37,9,29,2,2024-06-24,2024-07-16
38,27,16,10,2024-02-07,
39,26,26,2,2024-02-03,
40,4,46,6,2024-07-09,
41,42,2,9,2024-08-14,
42,22,44,6,2024-07-19,
43,24,18,4,2024-07-10,2024-08-02
44,20,27,5,2024-02-16,2024-02-28
45,40,22,2,2024-08-09,2024-08-10
46,49,5,3,2024-02-28,
47,42,1,2,2024-05-17,2024-06-06
48,50,27,2,2024-05-24,2024-06-04
49,30,11,10,2024-02-29,
50,21,13,4,2024-03-29,
51,27,14,10,2024-08-21,
52,35,38,10,2024-10-15,
53,36,23,6,2024-03-11,2024-04-05
54,6,23,3,2024-02-25,2024-03-13
55,5,42,6,2024-02-06,
56,37,24,5,2024-07-28,
57,30,5,6,2024-09-19,2024-09-25
58,17,15,5,2024-08-23,2024-09-21
59,9,31,1,2024-08-07,2024-08-21
60,29,38,5,2024-02-07,2024-02-17
61,11,7,10,2024-09-22,
62,12,27,7,2024-03-01,2024-03-19
63,38,18,4,2024-02-20,2024-03-05
64,8,20,6,2024-07-24,
65,47,43,1,2024-06-07,2024-06-20
66,20,41,9,2024-09-27,2024-10-23
67,40,5,9,2024-06-30,2024-07-03
68,33,5,10,2024-04-28,
69,34,37,6,2024-09-20,
70,45,26,8,2024-09-27,2024-10-06
71,18,38,10,2024-05-25,
72,43,11,2,2024-07-27,2024-08-15
73,22,32,4,2024-10-13,
74,41,40,5,2024-08-28,
75,18,24,2,2024-06-13,2024-06-27
76,45,25,7,2024-09-08,2024-10-02
77,12,22,5,2024-03-12,2024-04-02
78,23,29,5,2024-01-24,2024-02-10
79,43,37,7,2024-04-30,
80,8,28,10,2024-03-24,
81,47,14,6,2024-06-20,2024-07-06
82,50,47,3,2024-07-23,2024-08-17
83,14,38,7,2024-05-11,2024-05-12
84,12,33,5,2024-09-03,
85,13,25,3,2024-09-07,2024-10-03
86,17,12,6,2024-10-04,2024-10-27
87,36,6,7,2024-04-09,2024-04-12
88,10,29,5,2024-08-14,
89,27,4,2,2024-06-19,2024-07-08
90,3,46,10,2024-03-26,2024-03-30
91,33,47,8,2024-02-26,
92,49,1,5,2024-03-17,2024-03-29
93,32,47,9,2024-05-02,2024-05-26
94,27,12,1,2024-09-17,
95,32,3,8,2024-06-06,
96,17,21,1,2024-09-28,
97,6,40,8,2024-09-15,2024-09-21
98,35,7,2,2024-07-07,2024-07-28
99,40,37,9,2024-08-07,2024-08-24
100,43,18,3,2024-03-24,
